step,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,tau_meas_0,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_no_contact_0,tau_no_contact_1,tau_no_contact_2,tau_no_contact_3,tau_no_contact_4,tau_no_contact_5,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,F_ee_x,F_ee_y,F_ee_z
0,-1.1528005708385756e-10,0.6439861090427276,-0.002620129679395656,-3.1400135846566912,0.9348717061148473,0.0015785017966136615,-1.4400872021515494e-10,1.288172868642648e-05,6.254577910261988e-07,6.175314790807815e-10,5.248470778974196e-06,-1.2899479744457078e-09,3.750706187731496e-09,-0.0003739606180819255,-2.129090498237396e-05,-1.7529663362157374e-08,-0.00015900788601058702,7.078165973424446e-08,2.225814814278054e-08,-48.749317826340956,-40.09858210111087,8.463140750232855e-08,0.00044624316451793636,-3.740643213383543e-10,2.2793887822367135e-08,-48.74953572425293,-40.09846208380525,8.469946977530562e-08,0.00044664289020050584,-2.957848272652759e-10,5.357396795865957e-10,-0.00021789791197335262,0.00012001730561905788,6.806227297706423e-11,3.997256825694767e-07,7.82794940730784e-11,-0.0004307554171152691,-1.9035354431487343e-09,0.0002755916666840855
1,-1.1581497699121703e-10,0.6439861562242253,-0.002620127442955294,-3.1400135846544224,0.934871725222922,0.0015785017924677266,-1.283807777662737e-10,1.1323559444418457e-05,5.36745686932974e-07,5.444912150717924e-10,4.58593792059675e-06,-9.950243922196892e-10,3.4708292383514783e-09,-0.00035559369782389716,-1.842889333678044e-05,-1.886969138397126e-08,-0.00014913959203860516,7.066235805470653e-08,1.9157539633821335e-08,-48.74920881420755,-40.09844198804937,8.470328359185274e-08,0.0004466546585984407,-2.9510665140111367e-10,2.101969017811437e-08,-48.74934574753723,-40.09828343756834,8.481943176778444e-08,0.00044714263117676123,-2.367435060999534e-10,1.862150544293034e-09,-0.00013693332967790184,0.0001585504810321936,1.1614817593170118e-10,4.879725783205296e-07,5.836314530116027e-11,-0.000385804997985082,-9.111891238278505e-10,0.00021371716052103525
2,-1.1628963944652179e-10,0.6439861972322213,-0.0026201255264609964,-3.1400135846524813,0.9348717417417676,0.0015785017895485686,-1.1391898927314254e-10,9.841919036818886e-06,4.599586313630555e-07,4.658675009719122e-10,3.964522953769228e-06,-7.005979003250787e-10,3.0310255712972603e-09,-0.0003338129452790106,-1.584640653320979e-05,-1.8660614301338734e-08,-0.0001383330433218921,6.922352314899394e-08,1.7777839962304934e-08,-48.74905838472446,-40.098266103861526,8.482275075533498e-08,0.00044715295098748454,-2.3611463000824293e-10,1.802227643075555e-08,-48.74912722631805,-40.098079556557074,8.498551097518157e-08,0.00044770383958057014,-1.895790543248969e-10,2.4443646845061733e-10,-6.884159359543673e-05,0.00018654730445177847,1.6276021984658334e-10,5.508885930856008e-07,4.653557568334604e-11,-0.00034189565638229074,-1.5972208166259352e-09,0.00015953062629172393
3,-1.1671167993010263e-10,0.6439862324448536,-0.0026201238850779235,-3.1400135846508643,0.9348717558589978,0.001578501787831208,-1.0128971605940396e-10,8.451031764823008e-06,3.9393193747468136e-07,3.881149413830008e-10,3.3881352732613446e-06,-4.1216655387093723e-10,2.704932618131493e-09,-0.000309653904055629,-1.358253307659485e-05,-1.848257808113223e-08,-0.00012695375349147664,6.52796819399816e-08,1.514547327774687e-08,-48.748877465901586,-40.0980646572421,8.498835811838776e-08,0.00044771279298498953,-1.889896374297896e-10,1.5934033228303672e-08,-48.74888984532027,-40.09785928535441,8.517225852703078e-08,0.000448303844301632,-1.561795033833323e-10,7.885599505568009e-10,-1.2379418684815846e-05,0.00020537188768798842,1.8390040864301654e-10,5.910513166424857e-07,3.281013404645731e-11,-0.0002994063178582835,-1.0652401985809324e-09,0.0001124583013004963
4,-1.1708675977795205e-10,0.6439862622815502,-0.0026201224795027165,-3.140013584649568,0.93487176777217,0.0015785017872471752,-9.001916348385607e-11,7.160807164591221e-06,3.3733804965553615e-07,3.111041993782832e-10,2.859161300380192e-06,-1.401678791210139e-10,2.469263985809735e-09,-0.0002840649879487511,-1.1598170676779818e-05,-1.7351257266921827e-08,-0.00011546477177298842,6.03346086747213e-08,1.3375964771109866e-08,-48.7486753820924,-40.0978465176533,8.517465565578001e-08,0.0004483115238729172,-1.5562168452191058e-10,1.4564473448185278e-08,-48.74864186226291,-40.097630034956815,8.538279636809896e-08,0.0004489221228752566,-1.327565811306981e-10,1.1885086770754128e-09,3.3519829493400266e-05,0.00021648269648721907,2.0814071231895052e-10,6.105990023393842e-07,2.2865103391212477e-11,-0.00025906078041964555,-6.273204802842436e-10,7.214826271938745e-05
5,-1.1741897045938114e-10,0.6439862871865629,-0.0026201212752846393,-3.140013584648573,0.9348717776807454,0.0015785017877106183,-7.973056354298218e-11,5.977203048138091e-06,2.890123385022869e-07,2.3880729409944223e-10,2.378058084659407e-06,1.1122632369032484e-10,2.1676002227848603e-09,-0.0002578361430577436,-9.859619231888939e-06,-1.6955547203897567e-08,-0.0001037615588050933,5.391284744321861e-08,1.2290825871232005e-08,-48.748460140128216,-40.09761912651877,8.538477822082317e-08,0.00044892862778971666,-1.322247935409433e-10,1.2669346902560158e-08,-48.74839013698755,-40.09739795340119,8.559009244875556e-08,0.000449547362365367,-1.160446564560906e-10,3.785210313281529e-10,7.000314066374358e-05,0.00022117311758051983,2.0531422793239217e-10,6.187345756503344e-07,1.6180137084852702e-11,-0.00022125935509814492,-8.908966540088271e-10,3.80895327793319e-05
6,-1.17713549192498e-10,0.6439863076152537,-0.0026201202422405073,-3.140013584647872,0.9348717857879048,0.0015785017891100483,-7.069889594804526e-11,4.902885785397493e-06,2.4793059170274967e-07,1.6815918074986904e-10,1.9457182563048514e-06,3.3586318803706904e-10,1.967820221581586e-09,-0.00023161602766302858,-8.334163041773257e-06,-1.4245068493930549e-08,-9.271372342939399e-05,4.838114829987597e-08,1.065534044812445e-08,-48.74823844913304,-40.097388659466986,8.559169066507096e-08,0.00044955279497144933,-1.1553499602768333e-10,1.1568191430760582e-08,-48.748140276726005,-40.09716806196968,8.582513920296444e-08,0.0004501592127421124,-1.0582037596153825e-10,9.128509826361324e-10,9.817240703569041e-05,0.00022059749730374278,2.334485378934733e-10,6.064177706630622e-07,9.714620066145087e-12,-0.00018625829435232126,-4.060959842410724e-10,9.744778417433659e-06
7,-1.179739643801013e-10,0.6439863240228328,-0.0026201193538867057,-3.1400135846474186,0.9348717922854509,0.0015785017913494286,-6.249964502478865e-11,3.937819003468207e-06,2.1320491236202777e-07,1.0880472869182508e-10,1.5594110753490431e-06,5.374513059532189e-10,1.6545369411052287e-09,-0.00020588532115922709,-7.029296549415642e-06,-1.4218258237441717e-08,-8.154296073120681e-05,4.076846577287432e-08,9.782090181504215e-09,-48.74801584905108,-40.097160162888365,8.582639058443876e-08,0.0004501636766641266,-1.0533005722031078e-10,9.547958431645585e-09,-48.747896671971155,-40.096944337486306,8.602412261033034e-08,0.00045075853784826435,-9.919620319371291e-11,-2.341317498586303e-10,0.00011917707992381565,0.00021582540205855594,1.9773202589158047e-10,5.948611841377562e-07,6.133854026597874e-12,-0.00015414945561847363,-8.925085084186048e-10,-1.3506073109137414e-05
8,-1.1820565496803263e-10,0.6439863368560141,-0.0026201185875693025,-3.140013584647212,0.9348717973673206,0.001578501794296595,-5.5605741103516865e-11,3.079963498638094e-06,1.839161767394626e-07,4.956198603581793e-11,1.2196487389690147e-06,7.073199133401952e-10,1.5682970227925944e-09,-0.00018108375516828756,-5.900081609111485e-06,-1.1418259523109618e-08,-7.146532263885286e-05,3.467638207664287e-08,7.968767473481649e-09,-48.747796731591045,-40.09693763614649,8.602506118567355e-08,0.0004507621345827434,-9.872352194139188e-11,9.297956849050908e-09,-48.74766294718871,-40.096729984480504,8.625003664485032e-08,0.000451324750441092,-9.808543030428458e-11,1.3291893755692593e-09,0.00013378440233680067,0.00020765166598835094,2.2497545917676486e-10,5.626158583485973e-07,6.380916371072906e-13,-0.00012509357010159826,1.4451334359321007e-10,-3.204448187298819e-05
9,-1.1841011817709602e-10,0.6439863465453802,-0.002620117923683872,-3.1400135846472037,0.9348718012084729,0.0015785017978457818,-4.907117017521439e-11,2.3254478521035626e-06,1.5933250336816474e-07,1.985904689527857e-12,9.218765613071278e-07,8.518048386595405e-10,1.2840122125761702e-09,-0.00015750508454981382,-4.932857208955754e-06,-1.0750988793878716e-08,-6.154455125528813e-05,2.773863680904324e-08,7.892703177106183e-09,-48.74758477323767,-40.09672430775636,8.625070271350258e-08,0.0004513275794905835,-9.762928242700903e-11,7.458381972562595e-09,-48.74744162729745,-40.09652724984448,8.643910907580133e-08,0.00045186421638962763,-9.626031084450468e-11,-4.343212045435879e-10,0.00014314594022124538,0.00019705791188329158,1.8840636229874742e-10,5.366368990441205e-07,1.3689715825043466e-12,-9.906026512396174e-05,-7.242571118710886e-10,-4.65343290127161e-05
